ID:       	Date:          	Name:                                                                   	Entrants: 	Url:                                                                                         
3899363   	2017-10-09     	Last Stock SD 127 - Singles - 10-09-2017                                	36        	http://sdmelee.challonge.com/LSSD127singles                                                  
55123     	2017-10-10     	Training Mode Tuesdays #27                                              	36        	https://smash.gg/tournament/training-mode-tuesdays-27                                        
3901948   	2017-10-10     	Simi in Bracket 8 1/2                                                   	23        	http://challonge.com/simiinbracket8andahalf                                                  
3899518   	2017-10-10     	UCI Biweekly 37                                                         	54        	http://challonge.com/UCIBiweekly37                                                           
54420     	2017-10-10     	Melee Monday X                                                          	4         	https://smash.gg/tournament/melee-monday-x                                                   
55240     	2017-10-12     	Smash @ Power 9 #52                                                     	52        	https://smash.gg/tournament/smash-power-9-52                                                 
55496     	2017-10-12     	Smash At The Block #2                                                   	37        	https://smash.gg/tournament/smash-at-the-block-2-4                                           
3906516   	2017-10-12     	The Cougar Clash 20 - Singles - 10-12-2017                              	24        	http://sdmelee.challonge.com/TCC20singles                                                    
3909551   	2017-10-13     	Friday Night Turnip #72                                                 	35        	http://challonge.com/fnt72                                                                   
42066     	2017-10-14     	Elysium #2 : The Return                                                 	79        	https://smash.gg/tournament/elysium-2-the-return                                             
3911850   	2017-10-14     	Triton Melee Biweekly 3 - Singles - 10-14-2017                          	34        	http://sdmelee.challonge.com/TMBiweekly3singles                                              
53165     	2017-10-15     	Highlander Con 2017                                                     	73        	https://smash.gg/tournament/highlander-con-2017                                              
3912994   	2017-10-15     	Los Levels #2                                                           	9         	http://challonge.com/zbsosh9o                                                                
3918948   	2017-10-16     	Last Stock SD 128 - Singles - 10-16-2017                                	42        	http://sdmelee.challonge.com/LSSD128singles                                                  
55761     	2017-10-17     	Training Mode Tuesdays #28                                              	52        	https://smash.gg/tournament/training-mode-tuesdays-28                                        
3919073   	2017-10-17     	UCI Weekly 38                                                           	56        	http://challonge.com/UCIWeekly38                                                             
3919040   	2017-10-17     	Los Levels #3                                                           	5         	http://challonge.com/4j69vqnt                                                                
56329     	2017-10-17     	Melee Monday XI                                                         	17        	https://smash.gg/tournament/melee-monday-xi                                                  
55493     	2017-10-18     	Smash At The Block #3                                                   	28        	https://smash.gg/tournament/smash-at-the-block-3                                             
3921450   	2017-10-18     	Simi in Bracket 9                                                       	15        	http://challonge.com/sib9                                                                    
56743     	2017-10-19     	Smash @ Power 9 #53                                                     	31        	https://smash.gg/tournament/smash-power-9-53                                                 
3929805   	2017-10-20     	SDSU Biweekly 73 - Singles - 10-20-2017                                 	40        	http://sdmelee.challonge.com/SDSUbiweekly73Singles                                           
56729     	2017-10-20     	USC Biweekly 28: The Good, the Bad, and the Ugly.                       	21        	https://smash.gg/tournament/usc-biweekly-28-the-good-the-bad-and-the-ugly                    
57394     	2017-10-21     	Friday Night Turnip 73                                                  	36        	https://smash.gg/tournament/friday-night-turnip-73                                           
55487     	2017-10-21     	Melee for Medicine!                                                     	17        	https://smash.gg/tournament/melee-for-medicine                                               
3929731   	2017-10-21     	SB Brew Rebellion 10/2017                                               	21        	http://challonge.com/SBBR10_17                                                               
57085     	2017-10-22     	Crazy Hand Gaming Presents: Church of Randall @ P-Lay                   	6         	https://smash.gg/tournament/crazy-hand-gaming-presents-church-of-randall-p-lay               
53121     	2017-10-22     	Trojans in Training                                                     	41        	https://smash.gg/tournament/trojans-in-training                                              
3933106   	2017-10-22     	Los Levels #4                                                           	8         	http://challonge.com/9vibu3av                                                                
3938882   	2017-10-23     	Last Stock SD 129 - Singles - 10-23-2017                                	38        	http://sdmelee.challonge.com/LSSD129singles                                                  
3936690   	2017-10-23     	Gerry - Palooza                                                         	26        	http://challonge.com/gerrypalooza                                                            
57887     	2017-10-23     	Downtime Downsmash #4                                                   	19        	https://smash.gg/tournament/downtime-downsmash-4-1                                           
3938974   	2017-10-23     	Los Levels #5                                                           	7         	http://challonge.com/v4lfdxsj                                                                
57704     	2017-10-24     	Training Mode Tuesdays #29                                              	43        	https://smash.gg/tournament/training-mode-tuesdays-29                                        
57966     	2017-10-24     	Melee Monday XII                                                        	16        	https://smash.gg/tournament/melee-monday-xii                                                 
58296     	2017-10-25     	Smash At The Block #4                                                   	23        	https://smash.gg/tournament/smash-at-the-block-4                                             
47859     	2017-10-25     	UnTILTed Season 2                                                       	10        	https://smash.gg/tournament/untilted-season-2                                                
58298     	2017-10-26     	Smash @ Power 9 #54                                                     	42        	https://smash.gg/tournament/smash-power-9-54                                                 
3946537   	2017-10-26     	The Cougar Clash 21 - Singles - 10-26-2017                              	18        	http://sdmelee.challonge.com/TCC21singles                                                    
58008     	2017-10-27     	Smash at Game Sharkz                                                    	7         	https://smash.gg/tournament/smash-at-game-sharkz                                             
3946856   	2017-10-27     	BR Melee Weekly 10/26/17                                                	12        	http://challonge.com/BRW102617                                                               
3950102   	2017-10-28     	Friday Night Turnip #74                                                 	26        	http://challonge.com/fnt74                                                                   
3952232   	2017-10-28     	Triton Melee Biweekly 4 - Singles - 10-28-2017                          	36        	http://sdmelee.challonge.com/TMBiweekly4singles                                              
54599     	2017-10-29     	Smash N' Dash #1                                                        	62        	https://smash.gg/tournament/smash-n-dash-1                                                   
3960073   	2017-10-31     	Last Stock SD 130 - Singles - 10-13-2017                                	38        	http://sdmelee.challonge.com/LSSD130singles                                                  
3959563   	2017-10-31     	Los Levels #6                                                           	11        	http://challonge.com/qr7krtik                                                                
3901604   	2017-11-01     	Lawton Smash Series II (Singles)                                        	7         	http://challonge.com/lawtonsmashseriesII_singles                                             
59939     	2017-11-02     	Smash @ Power 9 #55                                                     	44        	https://smash.gg/tournament/smash-power-9-55                                                 
60213     	2017-11-02     	Smash At The Block #5                                                   	18        	https://smash.gg/tournament/smash-at-the-block-5                                             
3964572   	2017-11-02     	UnTILTed: The Not So Spoopy One                                         	15        	http://challonge.com/41rwrhnx                                                                
3958170   	2017-11-02     	SMC Melee #2                                                            	15        	http://challonge.com/4w97m1dd                                                                
61198     	2017-11-03     	Friday Night Turnip #75                                                 	36        	https://smash.gg/tournament/friday-night-turnip-75                                           
3971090   	2017-11-03     	SDSU Biweekly 74 - Singles - 11-03-2017                                 	29        	http://sdmelee.challonge.com/SDSUbiweekly74singles                                           
59579     	2017-11-03     	USC Biweekly 29                                                         	15        	https://smash.gg/tournament/usc-biweekly-29                                                  
57390     	2017-11-04     	The SMALL HOUSE Melee Tourney : hosted by ER Smash                      	9         	https://smash.gg/tournament/the-small-house-melee-tourney-hosted-by-er-smash                 
3973871   	2017-11-05     	Los Levels #7                                                           	13        	http://challonge.com/rph6ky55                                                                
3979181   	2017-11-06     	Last Stock SD 131 - Singles - 11-06-2017                                	29        	http://sdmelee.challonge.com/LSSD131singles                                                  
61259     	2017-11-06     	Downtime Downsmash #5                                                   	22        	https://smash.gg/tournament/downtime-downsmash-5                                             
